x;z;p
0;52;402073
50;52.1346;397429
100;52.2692;392784
150;52.4038;388140
200;52.5385;383496
250;52.6731;378852
300;52.8077;374208
350;52.9423;369564
400;53.0769;364920
450;53.2115;360276
500;53.3462;355632
550;53.4808;350988
600;53.6154;346344
650;53.75;341699
700;53.8846;337055
750;54.0192;332411
800;54.1538;327767
850;54.2885;323123
900;54.4231;318479
950;54.5577;313835
1000;54.6923;309191
1050;54.8269;304547
1100;54.9615;299903
1150;55.0962;295259
1200;55.2308;290614
1250;55.3654;285970
1300;55.5;281326
1350;55.6346;276682
1400;55.7692;272038
1450;55.9038;267394
1500;56.0385;262750
1550;56.1731;258106
1600;56.3077;253462
1650;56.4423;248818
1700;56.5769;244174
1750;56.7115;239529
1800;56.8462;234885
1850;56.9808;230241
1900;57.1154;225597
1950;57.25;220953
2000;57.3846;216309
2050;57.5192;211665
2100;57.6538;207021
2150;57.7885;202377
2200;57.9231;197733
2250;58.0577;193089
2300;58.1923;188444
2350;58.3269;183800
2400;58.4615;179156
2450;58.5962;174512
2500;58.7308;169868
2550;58.8654;165224
2600;59;160580
